tournament_key,surface,draw_size,tournament_date,winner_id,loser_id,score,best_of,round
3223,Hard,32,1994-01-03,101404,101214,6-2 6-2,3,R32
3223,Hard,32,1994-01-03,101917,101190,6-3 4-6 6-2,3,R32
3223,Hard,32,1994-01-03,102158,210013,6-4 6-3,3,R32
3223,Hard,32,1994-01-03,101601,101647,6-3 6-2,3,R32
3223,Hard,32,1994-01-03,101120,101682,6-4 6-2,3,R32
3223,Hard,32,1994-01-03,102338,101138,4-6 6-1 6-3,3,R32
3223,Hard,32,1994-01-03,101920,101805,6-7(3) 6-3 6-4,3,R32
3223,Hard,32,1994-01-03,101866,101195,6-4 6-4,3,R32
3223,Hard,32,1994-01-03,101659,101230,6-2 7-5,3,R32
3223,Hard,32,1994-01-03,102202,102205,6-2 7-6(2),3,R32
3223,Hard,32,1994-01-03,101377,102247,6-1 6-4,3,R32
3223,Hard,32,1994-01-03,101334,101549,6-4 6-2,3,R32
3223,Hard,32,1994-01-03,101735,101062,6-3 4-6 6-2,3,R32
3223,Hard,32,1994-01-03,101703,102358,6-3 7-6(6),3,R32
3223,Hard,32,1994-01-03,102257,101821,6-4 6-4,3,R32
3223,Hard,32,1994-01-03,101900,101820,7-6(4) 6-3,3,R32
3223,Hard,32,1994-01-03,101917,101404,7-6(3) 4-6 6-4,3,R16
3223,Hard,32,1994-01-03,102158,101601,4-6 6-2 7-6(2),3,R16
3223,Hard,32,1994-01-03,102338,101120,6-4 6-1,3,R16
3223,Hard,32,1994-01-03,101866,101920,6-4 6-2,3,R16
3223,Hard,32,1994-01-03,102202,101659,6-3 3-6 6-3,3,R16
3223,Hard,32,1994-01-03,101334,101377,6-3 3-6 6-4,3,R16
3223,Hard,32,1994-01-03,101703,101735,6-7(5) 6-3 6-4,3,R16
3223,Hard,32,1994-01-03,101900,102257,7-6(2) 6-3,3,R16
3223,Hard,32,1994-01-03,102158,101917,3-6 6-3 7-6(5),3,QF
3223,Hard,32,1994-01-03,102338,101866,5-7 6-3 7-5,3,QF
3223,Hard,32,1994-01-03,101334,102202,7-5 6-0,3,QF
3223,Hard,32,1994-01-03,101900,101703,7-6(5) 6-3,3,QF
3223,Hard,32,1994-01-03,102338,102158,6-1 7-5,3,SF
3223,Hard,32,1994-01-03,101334,101900,4-6 6-3 6-3,3,SF
3223,Hard,32,1994-01-03,102338,101334,6-4 6-3,3,F
1805,Hard,32,1994-01-03,102223,101948,3-6 6-2 6-4,3,R32
1805,Hard,32,1994-01-03,101235,101507,7-6(6) 4-6 6-1,3,R32
1805,Hard,32,1994-01-03,101249,102184,6-4 7-5,3,R32
1805,Hard,32,1994-01-03,101391,101723,7-6(6) 5-7 6-2,3,R32
1805,Hard,32,1994-01-03,101964,101412,6-4 0-6 6-4,3,R32
1805,Hard,32,1994-01-03,101962,102035,3-6 6-3 6-3,3,R32
1805,Hard,32,1994-01-03,101358,101864,7-6(2) 6-2,3,R32
1805,Hard,32,1994-01-03,101924,101439,6-4 6-2,3,R32
1805,Hard,32,1994-01-03,101797,101806,6-3 7-6(3),3,R32
1805,Hard,32,1994-01-03,100936,101819,6-3 6-2,3,R32
1805,Hard,32,1994-01-03,100757,101510,6-4 7-6(5),3,R32
1805,Hard,32,1994-01-03,101222,101096,6-1 6-4,3,R32
1805,Hard,32,1994-01-03,101373,101772,6-1 3-6 6-4,3,R32
1805,Hard,32,1994-01-03,101582,102588,7-6(4) 6-1,3,R32
1805,Hard,32,1994-01-03,101086,102146,6-2 6-4,3,R32
1805,Hard,32,1994-01-03,101529,101362,6-2 6-1,3,R32
1805,Hard,32,1994-01-03,101235,102223,6-4 6-7(5) 6-3,3,R16
1805,Hard,32,1994-01-03,101249,101391,7-5 6-2,3,R16
1805,Hard,32,1994-01-03,101964,101962,7-6(1) 6-7(9) 6-2,3,R16
1805,Hard,32,1994-01-03,101924,101358,6-2 6-4,3,R16
1805,Hard,32,1994-01-03,100936,101797,6-3 6-1,3,R16
1805,Hard,32,1994-01-03,101222,100757,6-1 6-1,3,R16
1805,Hard,32,1994-01-03,101582,101373,6-2 1-0 RET,3,R16
1805,Hard,32,1994-01-03,101086,101529,5-7 6-4 6-4,3,R16
1805,Hard,32,1994-01-03,101235,101249,6-4 6-2,3,QF
1805,Hard,32,1994-01-03,101964,101924,6-4 6-4,3,QF
1805,Hard,32,1994-01-03,101222,100936,6-4 6-2,3,QF
1805,Hard,32,1994-01-03,101582,101086,7-6(3) 7-6(6),3,QF
1805,Hard,32,1994-01-03,101235,101964,6-2 6-4,3,SF
1805,Hard,32,1994-01-03,101222,101582,6-4 6-7(5) 6-4,3,SF
1805,Hard,32,1994-01-03,101222,101235,6-3 6-2,3,F
3794,Hard,32,1994-01-03,101965,101482,4-6 7-6(4) 6-1,3,R32
3794,Hard,32,1994-01-03,101026,102061,4-6 6-3 7-6(4),3,R32
3794,Hard,32,1994-01-03,101932,101862,6-3 6-4,3,R32
3794,Hard,32,1994-01-03,101265,101398,6-2 6-3,3,R32
3794,Hard,32,1994-01-03,100763,101242,4-6 6-4 7-5,3,R32
3794,Hard,32,1994-01-03,101234,101767,6-3 6-1,3,R32
3794,Hard,32,1994-01-03,101892,101126,6-4 6-4,3,R32
3794,Hard,32,1994-01-03,101890,101711,7-6(4) 6-2,3,R32
3794,Hard,32,1994-01-03,101061,102148,6-4 7-5,3,R32
3794,Hard,32,1994-01-03,102169,101681,6-1 6-3,3,R32
3794,Hard,32,1994-01-03,101179,102235,6-3 7-6(4),3,R32
3794,Hard,32,1994-01-03,101312,101298,6-1 6-2,3,R32
3794,Hard,32,1994-01-03,101746,101789,6-4 6-2,3,R32
3794,Hard,32,1994-01-03,101750,101432,6-4 6-4,3,R32
3794,Hard,32,1994-01-03,101788,101327,6-2 7-6(5),3,R32
3794,Hard,32,1994-01-03,101191,101150,6-2 6-2,3,R32
3794,Hard,32,1994-01-03,101965,101026,6-7(2) 6-2 7-6(4),3,R16
3794,Hard,32,1994-01-03,101265,101932,4-6 6-4 6-2,3,R16
3794,Hard,32,1994-01-03,100763,101234,6-4 6-3,3,R16
3794,Hard,32,1994-01-03,101890,101892,6-4 6-4,3,R16
3794,Hard,32,1994-01-03,101061,102169,6-1 6-2,3,R16
3794,Hard,32,1994-01-03,101312,101179,2-6 6-3 7-6(2),3,R16
3794,Hard,32,1994-01-03,101746,101750,6-3 7-6(2),3,R16
3794,Hard,32,1994-01-03,101191,101788,6-3 6-3,3,R16
3794,Hard,32,1994-01-03,101965,101265,6-4 6-4,3,QF
3794,Hard,32,1994-01-03,101890,100763,7-6(4) 7-6(5),3,QF
3794,Hard,32,1994-01-03,101312,101061,6-0 2-6 6-3,3,QF
3794,Hard,32,1994-01-03,101191,101746,6-4 6-2,3,QF
3794,Hard,32,1994-01-03,101965,101890,4-6 6-4 6-4,3,SF
3794,Hard,32,1994-01-03,101191,101312,6-3 6-2,3,SF
3794,Hard,32,1994-01-03,101965,101191,6-4 6-7(3) 6-1,3,F
1231,Hard,32,1994-01-10,101320,101647,6-2 6-0,3,R32
1231,Hard,32,1994-01-10,101917,101214,6-2 6-1,3,R32
1231,Hard,32,1994-01-10,101507,102184,6-2 6-3,3,R32
1231,Hard,32,1994-01-10,102536,101234,6-3 6-4,3,R32
1231,Hard,32,1994-01-10,101601,101889,6-3 6-4,3,R32
1231,Hard,32,1994-01-10,102147,102202,6-2 6-2,3,R32
1231,Hard,32,1994-01-10,102358,102247,7-5 7-5,3,R32
1231,Hard,32,1994-01-10,102148,101932,6-4 6-4,3,R32
1231,Hard,32,1994-01-10,101549,102257,5-7 7-6(2) 6-2,3,R32
1231,Hard,32,1994-01-10,101265,101672,6-3 6-7(8) 6-3,3,R32
1231,Hard,32,1994-01-10,101543,101150,4-6 6-4 6-2,3,R32
1231,Hard,32,1994-01-10,102154,102694,7-5 6-3,3,R32
1231,Hard,32,1994-01-10,101703,102146,6-3 7-5,3,R32
1231,Hard,32,1994-01-10,101373,102654,6-3 6-4,3,R32
1231,Hard,32,1994-01-10,101084,100772,7-6(6) 6-1,3,R32
1231,Hard,32,1994-01-10,101334,102652,6-4 6-3,3,R32
1231,Hard,32,1994-01-10,101320,101917,7-5 4-6 6-4,3,R16
1231,Hard,32,1994-01-10,101507,102536,7-6(6) 6-2,3,R16
1231,Hard,32,1994-01-10,101601,102147,7-5 2-6 7-6(5),3,R16
1231,Hard,32,1994-01-10,102358,102148,6-2 3-6 6-2,3,R16
1231,Hard,32,1994-01-10,101265,101549,4-6 7-5 7-5,3,R16
1231,Hard,32,1994-01-10,102154,101543,4-6 7-5 6-3,3,R16
1231,Hard,32,1994-01-10,101373,101703,6-4 6-4,3,R16
1231,Hard,32,1994-01-10,101084,101334,6-3 3-6 7-5,3,R16
1231,Hard,32,1994-01-10,101320,101507,6-1 6-2,3,QF
1231,Hard,32,1994-01-10,102358,101601,0-6 6-4 6-4,3,QF
1231,Hard,32,1994-01-10,101265,102154,3-6 6-4 6-4,3,QF
1231,Hard,32,1994-01-10,101373,101084,6-2 6-4,3,QF
1231,Hard,32,1994-01-10,101320,102358,7-5 6-4,3,SF
