player_id,first_name,last_name,hand,date_of_birth,nationality,height
100001,Gardnar,Mulloy,R,1913-11-22,USA,185.0
100002,Pancho,Segura,R,1921-06-20,ECU,168.0
100003,Frank,Sedgman,R,1927-10-02,AUS,180.0
100005,Richard,Gonzalez,R,1928-05-09,USA,188.0
100006,Grant,Golden,R,1929-08-21,USA,175.0
100010,Luis,Ayala,R,1932-09-18,CHI,170.0
100011,Torben,Ulrich,L,1928-10-04,DEN,180.0
100012,Nicola,Pietrangeli,R,1933-09-11,ITA,178.0
100013,Neale,Fraser,L,1933-10-03,AUS,185.0
100015,Sammy,Giammalva,R,1934-08-01,USA,180.0
100016,Ken,Rosewall,R,1934-11-02,AUS,175.0
100018,Barry,Mackay,R,1935-08-31,USA,190.0
100020,Alejandro,Olmedo,R,1936-03-24,PER,178.0
100021,Ashley,Cooper,R,1936-09-15,AUS,178.0
100022,Roy,Emerson,R,1936-11-03,AUS,183.0
100024,Jan Erik,Lundquist,R,1937-04-14,SWE,191.0
100025,Barry,Phillips Moore,R,1937-07-09,AUS,173.0
100026,Andres,Gimeno,R,1937-08-03,ESP,185.0
100027,Gene,Scott,R,1937-12-28,USA,185.0
100028,Manuel,Santana,R,1938-05-10,ESP,170.0
100029,Rod,Laver,L,1938-08-09,AUS,173.0
100030,Fred,Stolle,R,1938-10-08,AUS,190.0
100032,Patricio,Rodriguez Chi,R,1938-12-20,CHI,188.0
100033,Wilhelm,Bungert,R,1939-04-01,GER,188.0
100035,Ion,Tiriac,R,1939-05-09,ROU,185.0
100037,Nikola,Pilic,L,1939-08-27,CRO,191.0
100038,Jaime,Pinto Bravo,R,1939-10-09,CHI,178.0
100040,Bob,Hewitt,R,1940-01-12,RSA,190.0
100047,Bob,Carmichael,R,1940-07-04,AUS,183.0
100048,Earl Butch,Buchholz,R,1940-09-16,USA,188.0
100049,Jim,Mcmanus,L,1940-09-16,USA,175.0
100054,Jose Edison,Mandarino,R,1941-03-26,BRA,173.0
100055,Cliff,Drysdale,R,1941-05-26,RSA,188.0
100058,Roger,Taylor,L,1941-10-14,GBR,183.0
100060,Marty,Riessen,R,1941-12-04,USA,185.0
100061,Tom,Edlefsen,R,1941-12-12,USA,188.0
100062,Francois,Jauffret,R,1942-02-09,FRA,180.0
100066,Frank,Froehling,R,1942-05-19,USA,190.0
100067,Frew,Mcmillan,R,1942-05-20,RSA,183.0
100069,Dennis,Ralston,R,1942-07-27,USA,188.0
100073,Mark,Cox,L,1943-07-05,GBR,185.0
100074,Arthur,Ashe,R,1943-07-10,USA,185.0
100075,Owen,Davidson,L,1943-10-04,AUS,185.0
100076,Milan,Holecek,R,1943-10-23,CZE,190.0
100078,Clark,Graebner,R,1943-11-04,USA,188.0
100081,Charlie,Pasarell,R,1944-02-12,USA,185.0
100084,Tom,Okker,R,1944-02-22,NED,178.0
100087,John,Newcombe,R,1944-05-23,AUS,183.0
100088,Patricio,Cornejo,R,1944-06-06,CHI,180.0
100089,Patrice,Beust,R,1944-09-03,FRA,170.0
100090,Dick,Crealy,R,1944-09-18,AUS,191.0
100091,Colin,Dibley,R,1944-09-19,AUS,188.0
100094,Jim,Osborne,R,1945-02-01,USA,185.0
100096,Peter,Burwash,R,1945-02-10,CAN,175.0
100098,Ove,Bengtson,R,1945-04-05,SWE,196.0
100100,Tony,Roche,L,1945-05-17,AUS,178.0
100106,Graham,Stilwell,R,1945-11-15,GBR,173.0
100110,Terry,Addison,R,1946-01-11,AUS,180.0
100113,Jan,Kodes,R,1946-03-01,CZE,175.0
100115,Jaime,Fillol,R,1946-06-03,CHI,180.0
100116,Sherwood,Stewart,R,1946-06-06,USA,188.0
100117,Butch,Seewagen,R,1946-06-13,USA,188.0
100119,Ilie,Nastase,R,1946-07-19,ROU,183.0
100120,Robert,Maud,R,1946-08-12,RSA,180.0
100121,Raymond,Moore,R,1946-08-24,RSA,183.0
100126,Stan,Smith,R,1946-12-14,USA,193.0
100127,Tom,Gorman,R,1946-01-19,USA,180.0
100128,Cliff,Richey,R,1946-12-31,USA,175.0
100134,Roy,Barth,R,1947-03-30,USA,175.0
100135,Onny,Parun,R,1947-04-15,NZL,188.0
100137,Hans Jurgen,Pohmann,R,1947-05-23,GER,178.0
100139,Gerald,Battrick,R,1947-05-27,GBR,178.0
100143,Peter,Fishbach,R,1947-08-29,USA,180.0
100144,Bob,Lutz,R,1947-08-29,USA,180.0
100151,Karl,Coombes,R,1947-12-17,AUS,180.0
100153,Patrice,Hagelauer,R,1948-01-05,FRA,188.0
100157,Stanley,Pasarell,R,1948-02-11,USA,185.0
100158,John,Bartlett,R,1948-03-17,AUS,188.0
100160,Georges,Goven,R,1948-04-26,FRA,173.0
100162,Brian,Fairlie,R,1948-06-13,NZL,173.0
100163,Tom,Leonard,R,1948-07-15,USA,175.0
100172,Tito,Vazquez,R,1949-01-01,ARG,173.0
100173,Andrew,Pattison,R,1949-01-30,USA,188.0
100174,Manuel,Orantes,L,1949-02-06,ESP,178.0
100176,Hans,Kary,L,1949-02-23,AUT,172.0
100179,Karl,Meiler,R,1949-04-30,GER,178.0
100182,Mike,Estep,R,1949-07-19,USA,173.0
100185,Patrick,Proisy,R,1949-09-10,FRA,180.0
100186,Jeff,Borowiak,R,1949-09-25,USA,193.0
100191,Doug,Crawford,R,1949-10-15,USA,188.0
100195,Nicolas,Kelaidis,R,1949-10-29,GRE,178.0
100199,Patrice,Dominguez,L,1950-01-12,FRA,173.0
100201,Syd,Ball,R,1950-01-24,AUS,188.0
100202,George,Amaya,L,1950-02-12,USA,173.0
100203,Phil,Dent,R,1950-02-14,AUS,183.0
100205,Paul,Gerken,R,1950-03-15,USA,185.0
100214,Adriano,Panatta,R,1950-07-09,ITA,183.0
100215,Fred,Mcnair,R,1950-07-22,USA,183.0
100221,Carlos,Kirmayr,R,1950-09-23,BRA,173.0
100229,Dick,Stockton,R,1951-02-18,USA,188.0
100231,Erik,Van Dillen,R,1951-02-21,USA,183.0
100232,Eddie,Dibbs,R,1951-02-23,USA,170.0
100233,Ricardo,Cano,R,1951-02-26,ARG,170.0
100236,John,James,R,1951-03-07,AUS,183.0
100240,Joao,Soares,R,1951-04-25,BRA,185.0
100243,Steve,Krulevitz,R,1951-05-30,USA,175.0
100244,John,Alexander,R,1951-07-04,AUS,190.0
100247,Rolf,Thung,L,1951-07-27,NED,190.0
100249,Paolo,Bertolucci,R,1951-08-03,ITA,175.0
100250,Woody,Blocher,R,1951-08-24,USA,173.0
100252,Tim,Gullikson,R,1951-09-08,USA,180.0
100253,Tom,Gullikson,L,1951-09-08,USA,180.0
100254,George,Glowa,R,1951-10-01,USA,188.0
100255,Roscoe,Tanner,L,1951-10-15,USA,183.0
100259,Peter,Feigl,R,1951-11-30,AUT,183.0
100261,Brian,Gottfried,R,1952-01-27,USA,183.0
100266,John,Feaver,R,1952-02-16,GBR,190.0
100270,Anand,Amritraj,R,1952-03-20,IND,185.0
100272,Sandy,Mayer,R,1952-04-05,USA,178.0
100273,Kim,Warwick,R,1952-04-08,AUS,183.0
100274,Eric,Deblicker,R,1952-04-17,FRA,178.0
100276,Terry,Moor,L,1952-04-23,USA,178.0
100279,Mike,Cahill,R,1952-06-17,USA,183.0
100280,Wojtek,Fibak,R,1952-08-03,POL,183.0
100281,Sashi,Menon,R,1952-08-09,IND,180.0
100282,Guillermo,Vilas,L,1952-08-17,ARG,180.0
100284,Jimmy,Connors,L,1952-09-02,USA,178.0
100285,Rod,Frawley,R,1952-09-08,AUS,185.0
100286,Harold,Solomon,R,1952-09-17,USA,168.0
100292,Alvaro,Fillol,R,1952-12-04,CHI,178.0
100294,Rejean,Genois,R,1952-12-30,CAN,175.0
100297,Corrado,Barazzutti,R,1953-02-19,ITA,178.0
100300,Jose,Higueras,R,1953-03-01,ESP,178.0
100307,Paul,Torre,R,1953-05-18,FRA,180.0
100308,Robert,Trogolo,R,1953-06-15,RSA,180.0
100309,Raul,Ramirez,R,1953-06-20,MEX,183.0
100311,Ulises,Quezada,R,1953-07-14,CHI,173.0
100313,Keith,Richardson,R,1953-08-18,USA,185.0
100314,Bernard,Fritz,R,1953-10-05,FRA,173.0
100315,Hank,Pfister,R,1953-10-09,USA,193.0
100319,Rick,Fagel,R,1953-11-29,USA,180.0
100321,Vijay,Amritraj,R,1953-12-14,IND,193.0
100323,Givaldo,Barbosa,R,1954-01-25,BRA,183.0
100324,John,Whitlinger,R,1954-02-04,USA,180.0
100325,Ulrich,Pinner,R,1954-02-07,GER,178.0
100326,Russell,Simpson,R,1954-02-22,NZL,188.0
100332,Balazs,Taroczy,R,1954-05-09,HUN,183.0
100337,Mark,Edmondson,R,1954-06-24,AUS,185.0
100338,Benjy,Robins,R,1954-06-30,USA,175.0
100339,Victor,Amaya,L,1954-07-02,USA,201.0
100342,Vitas,Gerulaitis,R,1954-07-26,USA,183.0
100343,John,Lloyd,R,1954-08-27,GBR,178.0
100345,Pat,Dupre,R,1954-09-16,USA,190.0
100348,Gerard,Toulon,R,1954-09-24,FRA,185.0
100353,Bruce,Kleege,R,1954-11-01,USA,190.0
100354,Bernie,Mitton,R,1954-11-09,RSA,188.0
100356,Paul,Mcnamee,R,1954-11-12,AUS,178.0
100358,Mike,Fishbach,R,1954-12-01,USA,180.0
100360,Brian,Teacher,R,1954-12-23,USA,190.0
100362,Peter,Fleming,R,1955-01-21,USA,196.0
100363,Jiri,Granat,R,1955-01-28,CZE,185.0
100364,Jonathan,Smith,R,1955-01-29,GBR,188.0
100367,Belus,Prajoux,R,1955-02-27,CHI,170.0
100368,Haroon,Ismail,R,1955-02-27,ZIM,178.0
100369,Herve,Gauvain,R,1955-03-04,FRA,180.0
100372,Trey,Waltke,R,1955-03-16,USA,173.0
100375,John,Hayes,R,1955-04-07,USA,193.0
100376,Buster C,Mottram,R,1955-04-25,GBR,193.0
100377,Colin,Dowdeswell,R,1955-05-12,GBR,185.0
100378,David,Schneider,R,1955-05-17,USA,185.0
100379,Craig,Edwards,R,1955-05-19,USA,175.0
100380,Butch,Walts,R,1955-06-04,USA,193.0
100383,Peter,Mcnamara,R,1955-07-05,AUS,185.0
100390,Trevor,Allan,L,1955-08-17,AUS,178.0
100392,Richard,Meyer,R,1955-09-04,USA,183.0
100393,Marcos,Hocevar,R,1955-09-26,BRA,185.0
100394,Angel,Gimenez,R,1955-10-10,ESP,163.0
100395,Victor,Pecci,R,1955-10-15,PAR,193.0
100397,Terry,Rocavert,R,1955-10-21,AUS,180.0
100398,Julio,Goes,R,1955-10-25,BRA,180.0
100402,Francisco,Gonzalez,R,1955-11-19,PAR,193.0
100403,Rolf,Gehring,R,1955-11-25,GER,185.0
100406,Greg,Halder,R,1955-12-05,CAN,188.0
100408,Gary,Plock,R,1955-12-21,USA,175.0
100409,Randy,Crawford,R,1955-12-22,USA,188.0
100411,Pavel,Slozil,R,1955-12-29,CZE,173.0
100415,Michael,Grant,R,1956-02-03,USA,178.0
100417,Hans,Gildemeister,R,1956-02-09,CHI,183.0
100422,Bruce,Manson,L,1956-03-20,USA,173.0
100426,Hans Peter,Kandler,R,1956-04-02,AUT,185.0
100427,Ferrante,Rocchi,L,1956-04-11,ITA,180.0
100428,Gene,Mayer,R,1956-04-11,USA,183.0
100430,David,Carter,R,1956-04-21,AUS,183.0
100431,Mansour,Bahrami,R,1956-04-26,IRI,178.0
100432,Robert,Bettauer,R,1956-05-02,CAN,175.0
100434,Tomas,Smid,R,1956-05-20,CZE,190.0
100435,Regis,Brunet,R,1956-05-31,FRA,183.0
100436,Nick,Saviano,L,1956-06-05,USA,180.0
100437,Bjorn,Borg,R,1956-06-06,SWE,180.0
100438,Carlos,Gattiker,R,1956-06-06,ARG,175.0
100440,Eddie,Edwards,R,1956-07-03,RSA,190.0
100441,Mark,Darby,R,1956-07-03,USA,185.0
100443,Christophe,Freyss,L,1956-08-30,FRA,183.0
100445,Steve,Denton,R,1956-09-05,USA,188.0
100446,John,Sadri,R,1956-09-19,USA,188.0
100447,Juan,Nunez,R,1956-09-23,CHI,190.0
100448,Bruce,Foxworth,R,1956-09-25,USA,180.0
100449,Stanislav,Birner,R,1956-10-11,CZE,170.0
100450,Leo,Palin,R,1956-10-20,FIN,178.0
100452,Bill,Scanlon,R,1956-11-13,USA,185.0
100453,Jose Luis,Damiani,R,1956-11-21,URU,185.0
100456,Ferdi,Taygan,R,1956-12-05,USA,173.0
100459,Tracy,Delatte,R,1956-12-22,USA,178.0
100460,Jose,Lopez Maeso,R,1956-12-24,ESP,173.0
