ranking_date,ranking,player,points
1994-12-19,1,101948,5097.0
1994-12-19,2,101736,3249.0
1994-12-19,3,101414,3237.0
1994-12-19,4,101843,3007.0
1994-12-19,5,101964,2936.0
1994-12-19,6,102021,2647.0
1994-12-19,7,101222,2471.0
1994-12-19,8,102238,2470.0
1994-12-19,9,101529,2380.0
1994-12-19,10,101774,2307.0
1994-12-19,11,102338,2174.0
1994-12-19,12,101965,2121.0
1994-12-19,13,101793,1909.0
1994-12-19,14,101820,1770.0
1994-12-19,15,102446,1655.0
1994-12-19,16,101404,1616.0
1994-12-19,17,101990,1407.0
1994-12-19,18,101434,1397.0
1994-12-19,19,101723,1331.0
1994-12-19,20,102158,1296.0
1994-12-19,21,101727,1288.0
1994-12-19,22,102374,1255.0
1994-12-19,23,101797,1214.0
1994-12-19,24,102247,1184.0
1994-12-19,25,101334,1136.0
1994-12-19,26,101463,1091.0
1994-12-19,27,101475,1084.0
1994-12-19,28,101120,1079.0
1994-12-19,29,101792,1022.0
1994-12-19,30,101613,1020.0
1994-12-19,31,101409,999.0
1994-12-19,32,101230,971.0
1994-12-19,33,101320,969.0
1994-12-19,34,101191,915.0
1994-12-19,35,101381,903.0
1994-12-19,36,101932,891.0
1994-12-19,37,101235,887.0
1994-12-19,38,101532,884.0
1994-12-19,39,101609,874.0
1994-12-19,40,101098,868.0
1994-12-19,41,101746,866.0
1994-12-19,42,101439,858.0
1994-12-19,43,101185,842.0
1994-12-19,44,101901,831.0
1994-12-19,45,101888,814.0
1994-12-19,46,102148,814.0
1994-12-19,47,101511,802.0
1994-12-19,48,101582,798.0
1994-12-19,49,101358,797.0
1994-12-19,50,102035,785.0
1994-12-19,51,101611,767.0
1994-12-19,52,102610,766.0
1994-12-19,53,101589,745.0
1994-12-19,54,102344,743.0
1994-12-19,55,100656,742.0
1994-12-19,56,101373,741.0
1994-12-19,57,101482,729.0
1994-12-19,58,101735,724.0
1994-12-19,59,102358,692.0
1994-12-19,60,101382,687.0
1994-12-19,61,101686,687.0
1994-12-19,62,101507,685.0
1994-12-19,63,102201,672.0
1994-12-19,64,102521,664.0
1994-12-19,65,101890,651.0
1994-12-19,66,101647,642.0
1994-12-19,67,101510,641.0
1994-12-19,68,101026,639.0
1994-12-19,69,101195,620.0
1994-12-19,70,101084,620.0
1994-12-19,71,101086,610.0
1994-12-19,72,101265,597.0
1994-12-19,73,100954,593.0
1994-12-19,74,101142,569.0
1994-12-19,75,102434,568.0
1994-12-19,76,100763,565.0
1994-12-19,77,100837,564.0
1994-12-19,78,101543,562.0
1994-12-19,79,101806,559.0
1994-12-19,80,101866,554.0
1994-12-19,81,101733,548.0
1994-12-19,82,101750,547.0
1994-12-19,83,102351,544.0
1994-12-19,84,102104,542.0
1994-12-19,85,101214,533.0
1994-12-19,86,101063,531.0
1994-12-19,87,101601,526.0
1994-12-19,88,102223,522.0
1994-12-19,89,101391,511.0
